Comunidades y Ciudades Autónomas	Actividad principal	Estrato de asalariados	Periodo	Total
09 Cataluña	433 Acabado de edificios	Total	2019	13.645
09 Cataluña	133 Acabado de textiles	Total	2019	327
09 Cataluña	82 Actividades administrativas de oficina y otras actividades auxiliares a las empresas	Total	2019	23.657
09 Cataluña	821 Actividades administrativas y auxiliares de oficina	Total	2019	2.112
09 Cataluña	522 Actividades anexas al transporte	Total	2019	3.153
09 Cataluña	94 Actividades asociativas	Total	2019	8.674
09 Cataluña	856 Actividades auxiliares a la educación	Total	2019	146
09 Cataluña	66 Actividades auxiliares a los servicios financieros y a los seguros	Total	2019	12.118
09 Cataluña	661 Actividades auxiliares a los servicios financieros, excepto seguros y fondos de pensiones	Total	2019	1.100
09 Cataluña	662 Actividades auxiliares a seguros y fondos de pensiones	Total	2019	10.964
09 Cataluña	591 Actividades cinematográficas, de vídeo y de programas de televisión	Total	2019	1.628
09 Cataluña	59 Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	Total	2019	1.687
09 Cataluña	791 Actividades de agencias de viajes y operadores turísticos	Total	2019	1.728
09 Cataluña	79 Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	Total	2019	2.651
09 Cataluña	77 Actividades de alquiler	Total	2019	3.342
09 Cataluña	091 Actividades de apoyo a la extracción de petróleo y gas natural	Total	2019	2
09 Cataluña	829 Actividades de apoyo a las empresas n.c.o.p.	Total	2019	19.947
09 Cataluña	09 Actividades de apoyo a las industrias extractivas	Total	2019	2
09 Cataluña	099 Actividades de apoyo a otras industrias extractivas	Total	2019	0
09 Cataluña	91 Actividades de bibliotecas, archivos, museos y otras actividades culturales	Total	2019	1.311
09 Cataluña	910 Actividades de bibliotecas, archivos, museos y otras actividades culturales	Total	2019	1.311
09 Cataluña	43 Actividades de construcción especializada	Total	2019	32.965
09 Cataluña	702 Actividades de consultoría de gestión empresarial	Total	2019	3.691
09 Cataluña	692 Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal	Total	2019	12.007
09 Cataluña	90 Actividades de creación, artísticas y espectáculos	Total	2019	8.468
09 Cataluña	900 Actividades de creación, artísticas y espectáculos	Total	2019	8.468
09 Cataluña	39 Actividades de descontaminación y otros servicios de gestión de residuos	Total	2019	74
09 Cataluña	390 Actividades de descontaminación y otros servicios de gestión de residuos	Total	2019	74
09 Cataluña	741 Actividades de diseño especializado	Total	2019	935
09 Cataluña	742 Actividades de fotografía	Total	2019	2.327
09 Cataluña	663 Actividades de gestión de fondos	Total	2019	54
09 Cataluña	592 Actividades de grabación de sonido y edición musical	Total	2019	59
09 Cataluña	803 Actividades de investigación	Total	2019	215
09 Cataluña	813 Actividades de jardinería	Total	2019	2.687
09 Cataluña	92 Actividades de juegos de azar y apuestas	Total	2019	1.356
09 Cataluña	920 Actividades de juegos de azar y apuestas	Total	2019	1.356
09 Cataluña	781 Actividades de las agencias de colocación	Total	2019	903
09 Cataluña	782 Actividades de las empresas de trabajo temporal	Total	2019	101
09 Cataluña	701 Actividades de las sedes centrales	Total	2019	1.136
09 Cataluña	70 Actividades de las sedes centrales; actividades de consultoría de gestión empresarial	Total	2019	4.827
09 Cataluña	642 Actividades de las sociedades holding	Total	2019	187
09 Cataluña	812 Actividades de limpieza	Total	2019	4.918
09 Cataluña	822 Actividades de los centros de llamadas	Total	2019	83
09 Cataluña	941 Actividades de organizaciones empresariales, profesionales y patronales	Total	2019	501
09 Cataluña	60 Actividades de programación y emisión de radio y televisión	Total	2019	214
09 Cataluña	602 Actividades de programación y emisión de televisión	Total	2019	101
09 Cataluña	601 Actividades de radiodifusión	Total	2019	113
09 Cataluña	80 Actividades de seguridad e investigación	Total	2019	573
09 Cataluña	801 Actividades de seguridad privada	Total	2019	287
09 Cataluña	88 Actividades de servicios sociales sin alojamiento	Total	2019	964
09 Cataluña	881 Actividades de servicios sociales sin alojamiento para personas mayores y con discapacidad	Total	2019	492
09 Cataluña	743 Actividades de traducción e interpretación	Total	2019	2.636
09 Cataluña	931 Actividades deportivas	Total	2019	5.171
09 Cataluña	93 Actividades deportivas, recreativas y de entretenimiento	Total	2019	7.047
09 Cataluña	861 Actividades hospitalarias	Total	2019	178
09 Cataluña	68 Actividades inmobiliarias	Total	2019	45.156
09 Cataluña	683 Actividades inmobiliarias por cuenta de terceros	Total	2019	9.702
09 Cataluña	691 Actividades jurídicas	Total	2019	13.812
09 Cataluña	69 Actividades jurídicas y de contabilidad	Total	2019	25.819
09 Cataluña	862 Actividades médicas y odontológicas	Total	2019	16.761
09 Cataluña	531 Actividades postales sometidas a la obligación del servicio universal	Total	2019	0
09 Cataluña	53 Actividades postales y de correos	Total	2019	3.560
09 Cataluña	932 Actividades recreativas y de entretenimiento	Total	2019	1.876
09 Cataluña	78 Actividades relacionadas con el empleo	Total	2019	1.381
09 Cataluña	86 Actividades sanitarias	Total	2019	32.280
09 Cataluña	942 Actividades sindicales	Total	2019	43
09 Cataluña	75 Actividades veterinarias	Total	2019	1.455
09 Cataluña	750 Actividades veterinarias	Total	2019	1.455
